quarter,area_code,sales_amount,transactions,floating_population,segment,dimension,average_ticket,year
20224,3120005,6055954323,171086,51751,40대,age,35397.1354932607,2022
20231,3110091,243868058,7057,37264,40대,age,34556.90208303812,2023
20231,3120005,4820162542,130722,52690,40대,age,36873.384296445896,2023
20232,3110091,257164247,7942,38505,40대,age,32380.28796272979,2023
20232,3120005,4360024669,187691,56879,40대,age,23229.801476895536,2023
20233,3110091,235811218,7646,40188,40대,age,30841.12189380068,2023
20233,3120005,4295965639,159786,53680,40대,age,26885.74492759065,2023
20234,3110091,270073133,6355,43656,40대,age,42497.73926042486,2023
20234,3120005,3524889375,146823,55627,40대,age,24007.746572403506,2023
20241,3110091,204523716,6220,42058,40대,age,32881.62636655949,2024
20241,3120005,3252733729,130641,55353,40대,age,24898.261104859885,2024
20242,3110091,224902020,7113,44812,40대,age,31618.447912273303,2024
20242,3120005,4919553853,190116,62153,40대,age,25876.590360621936,2024
20243,3110091,168488607,5021,44846,40대,age,33556.78291177056,2024
20243,3120005,3155959536,155048,57827,40대,age,20354.725865538414,2024
20244,3110091,219491538,5600,46903,40대,age,39194.9175,2024
